data, description, source, notes,,,,,,
epidemics.json, Epidemics since the 14th Century, https://en.wikipedia.org/wiki/List_of_epidemics, generated using TimeLineCurator,,,,,,
priestley.json, Priestley's Chart of Biography, https://upload.wikimedia.org/wikipedia/commons/9/98/PriestleyChart.gif, manual reproduction of infographic,,,,,,
philosophers.json, Great Philosophers since the 8th Century BC, http://bl.ocks.org/rengel-de/5603464, data included in bl.ocks code snippet,,,,,,
dailyroutines.json, The Daily Routines of Famous Creative People, https://podio.com/site/creative-routines, manual reproduction of infographic,,,,,,
painters.json, Great Painters of the 20th Century, http://www.brainpickings.org/2013/06/07/painters-lives-accurat-giorgia-lupi/, manual reproduction of infographic,,,,,,
authors.json, Modern Library Authors, http://www.brainpickings.org/2013/11/29/accurat-modern-library/, manual reproduction of infographic,,,,,,
ch-jp-ko.json, East Asian Dynasties, http://bl.ocks.org/bunkat/2338034, data included in bl.ocks code snippet,,,,,,
empires.json, History's Largest Empires, http://nowherenearithaca.github.io/empires/index.html, scraped using D3 deconstructor,,,,,,
presidents.json, Presidents of the USA, https://raw.githubusercontent.com/hitch17/sample-data/master/presidents.json, filtered,,,,,,
prime-ministers.json, Prime Ministers of Canada, http://www.downloadexcelfiles.com/ca_en/download-excel-file-list-prime-ministers-canada, filtered and formatted into json,,,,,,
uk-prime-ministers.json, Prime Ministers of the UK, http://www.downloadexcelfiles.com/gb_en/download-excel-file-list-prime-ministers-uk, filtered and formatted into json,,,,,,
japan-prime-ministers.json, Prime Ministers of Japan, http://www.downloadexcelfiles.com/jp_en/download-excel-file-list-prime-ministers-japan, filtered and formatted into json,,,,,,
france-presidents.json, Presidents of France, http://www.downloadexcelfiles.com/fr_en/download-excel-file-list-presidents-france, filtered and formatted into json,,,,,,
italy-presidents.json, Presidents of Italy, http://www.downloadexcelfiles.com/it_en/download-excel-file-list-presidents-italy, filtered and formatted into json,,,,,,
germany-chancellors.json, Chancellors of Germany, https://en.wikipedia.org/wiki/List_of_Chancellors_of_Germany, generated manually,,,,,,
heads-of-state.json, G7 Heads of State, , combination of US, Canada, UK, Japan, France, Italy, Germany datasets
heads-of-state-since-1940.json, G7 Heads of State since 1940, , combination of US, Canada, UK, Japan, France, Italy, Germany datasets
singularity.json, Kurzweil's Countdown to Singularity, http://www.singularity.com/images/charts/CountdowntoSingularityLog.jpg, manual reproduction of infographic,,,,,,
perspective-on-time.json, visual.ly's Perspective on Time, http://visual.ly/perspective-time, manual reproduction of infographic,,,,,,
hurricanes10y.json, C4-5 Hurricanes: 2001-2010, http://www.aoml.noaa.gov/hrd/hurdat/easyread-2011.html, filtered and formatted into json,,,,,,
hurricanes50y.json, C4-5 Hurricanes: 1960-2010, http://www.aoml.noaa.gov/hrd/hurdat/easyread-2011.html, filtered and formatted into json,,,,,,
hurricanes100y.json, C4-5 Hurricanes: 1910-2010, http://www.aoml.noaa.gov/hrd/hurdat/easyread-2011.html, filtered and formatted into json,,,,,,
typical-american.json, Life of a Typical American, http://waitbutwhy.com/2014/05/life-weeks.html, manual reproduction of infographic,,,,,,
